baseline,polynomial,rational_diff,all_features,regularization,kbest,rfe
0.7765712929377754,0.8661153541754351,0.8299736233131331,0.8687884823678731,0.8418570888128272,0.8686043526414016,0.8363391615980355
0.0004123241325863347,0.0004334587984958676,0.00042724357492103125,0.0004171233503689946,0.00047461115373173524,0.00038889338649560404,0.0003694001525074035
-0.34671658728048993,-0.20776163662310343,-0.2638464496152264,-0.20361350008215276,-0.24540559051422117,-0.20389928145831412,-0.25396871772265983
0.000514970091661059,0.0004351109511422084,0.0003666520936641655,0.0004140281224852561,0.00046212213288370353,0.0003690508275765354,0.00044048855320776047
0.7765037362810516,0.8658575124108716,0.829393219663249,0.8681417159716969,0.8412873461290724,0.8679442526044037,0.867842258185553
-0.34673219942536393,-0.20810871280003762,-0.26394600917427147,-0.2039981516393523,-0.2455445880404133,-0.20430364751502764,-0.20446144323545884
0.7762315896989009,0.8608203472262763,0.8277112224227613,0.8619668786099245,0.8401787518827408,0.8625826033818317,0.8333667223766643
0.0038600642006805237,0.004637763858004808,0.006371491319923503,0.004883964965663326,0.004324770239232216,0.004461132964408625,0.003656832521804794
-0.34702886068615646,-0.21580101152345602,-0.26709935373125976,-0.21403423600922733,-0.247817946411927,-0.21307632344167274,-0.2584067422796402
0.0046496352910038235,0.005218545877074631,0.006041062145611793,0.006186137428099885,0.004321911615324821,0.005231074890437612,0.004077536217289209
0.7792541859525539,0.8649644358333042,0.82593765054668,0.8655285482714549,0.8423145167134488,0.865321084244242,0.8658794036576274
-0.3516668928437092,-0.21512316090257771,-0.2742201133865895,-0.21184809268675317,-0.2484197831527805,-0.21217493424234868,-0.21129535049936635
