Set,Scoring,baseline,polynomial,rational_diff,all_features,regularization,kbest,rfe
Train,CV_R2,0.7765712929377754,0.8661153541754351,0.8299736233131331,0.8687884823678731,0.8418570888128272,0.8686202052565493,0.8363042253984329
Train,CV_R2_std,0.0004123241325863347,0.0004334587984958676,0.00042724357492103125,0.0004171233503689946,0.00047461115373173524,0.0004121050900055654,0.00043268337915834817
Train,CV_MSE,-0.34671658728048993,-0.20776163662310343,-0.2638464496152264,-0.20361350008215276,-0.24540559051422117,-0.2038746160157736,-0.2540227776096978
Train,CV_MSE_std,0.000514970091661059,0.0004351109511422084,0.0003666520936641655,0.0004140281224852561,0.00046212213288370353,0.0003929629269645269,0.0004880030828357366
Train,Adjusted R2,0.7765037362810516,0.8658575124108716,0.829393219663249,0.8681417159716969,0.8412873461290724,0.8679442526044037,0.867842258185553
Train,MSE,-0.34673219942536393,-0.20810871280003762,-0.26394600917427147,-0.2039981516393523,-0.2455445880404133,-0.20430364751502764,-0.20446144323545884
Test,CV_R2,0.7762315896989009,0.8608203472262763,0.8277112224227613,0.8619668786099245,0.8401787518827408,0.8619688975879264,0.8334643154983139
Test,CV_R2_std,0.0038600642006805237,0.004637763858004808,0.006371491319923503,0.004883964965663326,0.004324770239232216,0.004693679547419956,0.00359388769651399
Test,CV_MSE,-0.34702886068615646,-0.21580101152345602,-0.26709935373125976,-0.21403423600922733,-0.247817946411927,-0.21402475127392956,-0.25825622632835865
Test,CV_MSE_std,0.0046496352910038235,0.005218545877074631,0.006041062145611793,0.006186137428099885,0.004321911615324821,0.005565337248046902,0.003999064300940277
Test,Adjusted R2,0.7792541859525539,0.8649644358333042,0.82593765054668,0.8655285482714549,0.8423145167134488,0.865321084244242,0.8658794036576274
Test,MSE,-0.3516668928437092,-0.21512316090257771,-0.2742201133865895,-0.21184809268675317,-0.2484197831527805,-0.21217493424234868,-0.21129535049936635
