Set,Scoring,baseline,polynomial,polynomial + PCA,rational_diff,rational_diff + PCA,all_features,all_features + PCA
Train,CV_R2,0.8996826103156768,0.9123884889272904,0.9340228460015538,0.9186644918570436,0.9094535728130688,0.9165628551909382,0.935574156909164
Train,CV_R2_std,0.0018595737880448,0.0042893377877361,0.0010066711078153,0.0035494196521425,0.0047049082400859,0.0028675212445727,0.0018980664981822
Train,CV_MSE,-0.155667264371491,-0.1359518479687037,-0.1023817304837153,-0.1262201782833969,-0.1405061034901705,-0.129477538471709,-0.0999824830128859
Train,CV_MSE_std,0.0026716643793944,0.0066128615638464,0.0015185425852016,0.0056131347643352,0.0072411116382859,0.0044760885181282,0.0031922111562704
Train,Adjusted R2,0.9511750509635252,0.9802586190878292,0.9432390029518428,0.9811521446815,0.957345871282621,0.981426147000558,0.9825582187387588
Train,MSE,-0.0757470468836878,-0.0302860731741675,-0.0879890616130411,-0.0291595456112156,-0.0661736335930322,-0.0284074402965071,-0.026984206300056
Test,CV_R2,0.8859516293874948,0.8870075472105079,0.8948729721451173,0.8873093956615705,0.8901759365224013,0.8875953511157257,0.8963885538611891
Test,CV_R2_std,0.0026074154524588,0.0050898516066329,0.002762145933755,0.0038000022689476,0.0031994152000469,0.0046403356685545,0.0032757733942671
Test,CV_MSE,-0.1769096520345403,-0.1752794191903852,-0.1630686606203479,-0.1747902450061559,-0.1703531392689974,-0.1743222268634777,-0.1606907305047228
Test,CV_MSE_std,0.0028199956274761,0.0075497752282421,0.0032413149114786,0.0046727739198376,0.0039053293685015,0.0054860571671861,0.0029910496200957
Test,Adjusted R2,0.9013717870041716,0.9120526267358864,0.8937179657628948,0.9167691453533752,0.9081267993662356,0.9086530833271976,0.9195734044428124
Test,MSE,-0.1571231480000598,-0.1338679552003499,-0.1687777292138104,-0.1311229824838197,-0.1463618376724383,-0.1372739299283404,-0.1267051158522016
