Set,Scoring,baseline,polynomial,polynomial + PCA,poly + KBest,poly + RFE,rational_diff,diff + RFE,all_features,all + RFE
Train,CV_R2,0.9999996579604374,1.0,1.0,1.0,1.0,0.9999999999992429,0.9999999999992439,1.0,1.0
Train,CV_R2_std,3.72079831216657e-08,0.0,0.0,0.0,0.0,2.2714163896403585e-12,2.2679858001430185e-12,0.0,0.0
Train,CV_MSE,-5.307636821912545e-07,-7.504748262571736e-29,-7.504917906595713e-29,-4.883072868786684e-30,-7.504783846778524e-29,-1.1732488400919814e-12,-1.1732753937955866e-12,-4.88365610546353e-30,-7.50474369446511e-29
Train,CV_MSE_std,5.7580927603397795e-08,1.4511875618191417e-31,1.4628522256001398e-31,1.3330091772612676e-32,1.4646328738073584e-31,3.519746520275944e-12,3.51982618138676e-12,1.3783501135606457e-32,1.4574389723033613e-31
Train,Adjusted R2,0.9999995936906468,1.0,1.0,1.0,1.0,1.0,0.9999999999844307,1.0,1.0
Train,MSE,-6.303485048552479e-07,-7.504692570223299e-29,-7.505098698454436e-29,-7.504981085073841e-29,-7.504616332913729e-29,-7.504737159969745e-29,-2.4126166130012263e-11,-7.505042659989309e-29,-7.504625384321561e-29
Test,CV_R2,0.8970652845477758,0.8961035955575255,0.8859476885791258,0.8946189810792718,0.8959354186951243,0.894424178532832,0.8944192869585619,0.9006122312367802,0.9022930170944476
Test,CV_R2_std,0.001980323131135946,0.0019696662261280643,0.0026701882142298825,0.002106824237807918,0.002179561372935385,0.0028144903878647275,0.0025368530103846297,0.002758331146134652,0.002237289338435521
Test,CV_MSE,-0.15964124557234335,-0.16113195425238222,-0.17686583106139325,-0.16344394011654734,-0.16139452960235212,-0.1637191801108338,-0.1637311424931251,-0.15412974380181538,-0.15152336002559422
Test,CV_MSE_std,0.0029088339441968006,0.002847433357246356,0.003104154953332743,0.003539310138879175,0.0032880950178298405,0.0034599880561967822,0.003134554164954678,0.003771282781939947,0.0028377015249365046
Test,Adjusted R2,0.900768541005755,0.899221657462826,0.8896908845297116,0.9009055644005779,0.8994313952034771,0.8952994410477922,0.8959605215739516,0.9041109180712634,0.9034343125638581
Test,MSE,-0.15808417028172336,-0.1593568144713785,-0.1754594797198224,-0.1578658803371904,-0.1590774366832695,-0.16494663686711547,-0.16497316816762056,-0.15106492013705594,-0.1508635144998513
